id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
187,a tree is a kind of organism,trees require a certain thickness of soil to grow,trees are a kind of organism that require a certain thickness of soil to grow,further_specification_or_conjunction,further_specification,,
188,better senses have a positive impact on an animal 's survival,hearing is used for sensing sound by animals,better hearing has a positive impact on an animal's survival,substitution,,,
189,if a part of something absorbs heat then that heat will be distributed to the rest of that something,absorbing heat causes something to heat,if a part of something is heated then the rest of that something will be heated,substitution,,,
190,if something is renewable then that something is not a fossil fuel,wood is a renewable resource,wood is not a fossil fuel,inference_from_rule,,,
191,the plant will make less food,a plant / living thing requires food for survival,the food the plant requires to survive will be less,further_specification_or_conjunction,further_specification,,
192,an example of camouflage is an organism having the same color as green leaves,an insect is a kind of organsim,an example of camouflage is an insect having the same color as green leaves,substitution,arg_substitution,,
193,solid is a kind of physical property,a mineral is a kind of solid material,being solid is a physical property of a mineral,further_specification_or_conjunction,further_specification,,
194,the matter has the same shape as the container and fixed volume,matter with variable shape changes shape in different container,the matter may have a variable shape and a fixed volume,further_specification_or_conjunction,conjunction,,
195,some characteristics are passed down from ancestor to descendant,two or more animals have similar characteristics,animals with similar characteristics might share a common ancestor,further_specification_or_conjunction,further_specification,,
196,an animal hiding / gathering seeds has a positive impact on a plant by spreading those seeds to a new environment,an oak tree is a kind of plant,an animal hiding / gathering seeds has a positive impact on an oak tree by spreading those seeds to a new environment,substitution,arg_substitution,,
197,sunlight is a kind of solar energy,photosynthesis means producers / green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,a plant requires sunlight for photosynthesis,further_specification_or_conjunction,further_specification,,
